ID,Consortium,Species,Data_Type,Total,Released,Period_Total,Period_Released,Period_Start_Date,Last_Updated,Schema_Table,Data_Type_Filter
AA-30,ALL,ALL,Metabolomics,3,3,0,0,2023-01-01,2021-09-20,RNASeq:Study,"{""Total"": {""and"": [{""choices"": [""16-DYPR""], ""sourcekey"": ""experiment_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""16-DYPR""], ""sourcekey"": ""experiment_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-26,ALL,ALL,Epigenomics: ChIP-Seq,3,2,0,0,2023-01-01,2021-10-29,RNASeq:Study,"{""Total"": {""and"": [{""choices"": [""Q-YJXY""], ""sourcekey"": ""experiment_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""Q-YJXY""], ""sourcekey"": ""experiment_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-25,ALL,ALL,Epigenomics: ATAC-Seq,1,1,0,0,2023-01-01,2021-10-29,RNASeq:Study,"{""Total"": {""and"": [{""choices"": [""Q-YJY0""], ""sourcekey"": ""experiment_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""Q-YJY0""], ""sourcekey"": ""experiment_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-24,ALL,ALL,Transcriptomics: Microarray,49,49,0,0,2023-01-01,2018-02-28,Microarray:Series,"{""Total"": null, ""Released"": null}"
AA-22,ALL,ALL,Transcriptomics: snRNA-Seq,3,2,0,0,2023-01-01,2021-08-22,RNASeq:Study,"{""Total"": {""and"": [{""choices"": [""16-QKNT""], ""sourcekey"": ""experiment_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""16-QKNT""], ""sourcekey"": ""experiment_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-21,ALL,ALL,Transcriptomics: scRNA-Seq,20,14,0,0,2023-01-01,2021-09-30,RNASeq:Study,"{""Total"": {""and"": [{""choices"": [""Q-YJY2""], ""sourcekey"": ""experiment_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""Q-YJY2""], ""sourcekey"": ""experiment_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-20,ALL,ALL,Transcriptomics: mRNA-Seq,53,29,0,0,2023-01-01,2021-10-29,RNASeq:Study,"{""Total"": {""and"": [{""choices"": [""Q-YJXW""], ""sourcekey"": ""experiment_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""Q-YJXW""], ""sourcekey"": ""experiment_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-14,ALL,ALL,Imaging: nanoCT,22,22,0,0,2023-01-01,2021-08-12,Gene_Expression:Specimen,"{""Total"": {""and"": [{""choices"": [""16-6DAE""], ""sourcekey"": ""assay_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""16-6DAE""], ""sourcekey"": ""assay_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-12,ALL,ALL,Imaging: In-situ hybridization (ISH),11680,11434,0,0,2023-01-01,2023-08-07,Gene_Expression:Specimen,"{""Total"": {""and"": [{""choices"": [""16-2DFR""], ""sourcekey"": ""assay_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""16-2DFR""], ""sourcekey"": ""assay_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-11,ALL,ALL,Imaging: Immunohistochemistry (IHC),1247,1109,0,0,2023-01-01,2022-03-08,Gene_Expression:Specimen,"{""Total"": {""and"": [{""choices"": [""16-2DFP""], ""sourcekey"": ""assay_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""16-2DFP""], ""sourcekey"": ""assay_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-10,ALL,ALL,Imaging: Histology,407,382,0,0,2023-01-01,2021-12-15,Gene_Expression:Specimen,"{""Total"": {""and"": [{""choices"": [""16-2DGA""], ""sourcekey"": ""assay_type_fkey""}]}, ""Released"": {""and"": [{""choices"": [""16-2DGA""], ""sourcekey"": ""assay_type_fkey""}, {""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-09,ALL,ALL,Publication,154,153,0,0,2023-01-01,2022-10-31,Common:Publication,"{""Total"": null, ""Released"": {""and"": [{""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-08,ALL,ALL,Protocol,123,116,0,0,2023-01-01,2022-11-30,Protocol:Protocol,"{""Total"": null, ""Released"": {""and"": [{""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-07,ALL,ALL,Functional Assay Handbook,2,1,0,0,2023-01-01,2022-10-31,Protocol:Functional_Assay_Handbook,"{""Total"": null, ""Released"": {""and"": [{""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-06,ALL,ALL,Collection,77,51,1,1,2023-01-01,2023-06-09,Common:Collection,"{""Total"": null, ""Released"": {""and"": [{""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-05,ALL,ALL,Transgenic Mouse Strain,45,41,0,0,2023-01-01,2021-05-27,Cell_Line:Mouse_Strain,"{""Total"": null, ""Released"": {""and"": [{""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-04,ALL,ALL,Cell Line: Reporter,15,13,0,0,2023-01-01,2019-12-04,Cell_Line:Reporter_Cell_Line,"{""Total"": null, ""Released"": {""and"": [{""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-03,ALL,ALL,Cell Line: Parental,7,5,0,0,2023-01-01,2019-05-07,Cell_Line:Parental_Cell_Line,"{""Total"": null, ""Released"": {""and"": [{""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-02,ALL,ALL,Antibody Test,333,302,0,0,2023-01-01,2021-09-21,Antibody:Antibody_Tests,"{""Total"": null, ""Released"": {""and"": [{""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
AA-01,ALL,ALL,Antibody,338,322,0,0,2023-01-01,2021-08-18,Antibody:Antibodies,"{""Total"": null, ""Released"": {""and"": [{""choices"": [""Q-Y61M""], ""sourcekey"": ""curation_status_fkey""}]}}"
